"Bären,Hauptstrasse 18, Utzenstorf, 3427, 瑞士"
"Restaurant du Quai,Le Quai 10, Hermance, 1248, 瑞士"
"Auberge de la Croix d'Or, Grande-Rue 18, Yens, 1169, 瑞士"
"Kyogoku Kaneyo, 456 Matsugaecho, Nakagyo-ku, Kyoto, 604-8034, 日本"
"Hachidori, 1-20-2 Miyakojimakitadori, Miyakojima-ku, Osaka, 534-0014, 日本"
"Izuu, 367 Kiyomotocho, Higashiyama-ku, Kyoto, 605-0084, 日本"
"AKA to SHIRO, 3F, 1-1-41 Sonezakishinchi, Kita-ku, Osaka, 530-0002, 日本"
"DELI a Casa, 1-2-5 Kawarayamachi, Chuo-ku, Osaka, 542-0066, 日本"
"DEUX FILLES, 199-2 Ayazaimokucho, Shimogyo-ku, Kyoto, 600-8072, 日本"
"The New World, B2F, Shinsaibashi PARCO, 1-8-3 Shinsaibashisuji, Chuo-ku, Osaka, 542-0085, 日本"
"Tonkatsu Fujii, 1-11-5 Sembayashi, Asahi-ku, Osaka, 535-0012, 日本"
"Tonkatsu KATSU Hana, 2-2-11 Kitakyuhojimachi, Chuo-ku, Osaka, 541-0057, 日本"
"Saketosakana DNA, 559-1 Torocho, Shimogyo-ku, Kyoto, 600-8401, 日本"
"Vegan Ramen UZU, 146 Umenokicho, Nakagyo-ku, Kyoto, 604-0905, 日本"
"Sushitsune, 2-4-3 Tenjimbashi, Kita-ku, Osaka, 530-0041, 日本"
"Kikunoi Mugesambo, 524 Washiocho, Higashiyama-ku, Kyoto, 605-0072, 日本"
"Chukasoba Uemachi, A-22 Uemachi, Chuo-ku, Osaka, 540-0005, 日本"
"Sobadokoro Toki, 1-3-4 Dojima, Kita-ku, Osaka, 530-0003, 日本"
"Donostia, 1F, Daibiruhonkan, 3-6-32 Nakanoshima, Kita-ku, Osaka, 530-0005, 日本"
"Sushizen, 41-2 Koromonotanacho, Nakagyo-ku, Kyoto, 604-8203, 日本"
"Nihonshuzammai Utsutsuyo, 2F, 3-2-1 Hommachi, Chuo-ku, Osaka, 541-0053, 日本"
"Kamigata Rainbow, 4-6-3 Katsuyama, Tennoji-ku, Osaka, 543-0043, 日本"
"Mendokoro Janomeya, 2F, 565-23 Nakanocho, Nakagyo-ku, Kyoto, 604-8042, 日本"
"Bistro Cerisier, 1-3 Tanaka Shimoyanagicho, Sakyo-ku, Kyoto, 606-8204, 日本"
"Ayamuya, 5-17-39 Fukushima, Fukushima-ku, Osaka, 553-0003, 日本"
"Juu, 71-6 Jodoji Kamiminamidacho, Sakyo-ku, Kyoto, 606-8405, 日本"
"Fuyacho 103, 225 Owaricho, Nakagyo-ku, Kyoto, 604-0934, 日本"
"Oribe, 1-6-18 Shimmachi, Nishi-ku, Osaka, 550-0013, 日本"
"Muginoyoake, 12-5 Nishishichijo Kakegoshicho, Shimogyo-ku, Kyoto, 600-8881, 日本"
"Izakaya Tokitame, 6-9-17 Fukushima, Fukushima-ku, Osaka, 553-0003, 日本"
"Sumibiyakitori Ikoka, 3-3-3 Otedori, Chuo-ku, Osaka, 540-0021, 日本"
"Izugen, 391 Takeyacho, Takakuradori Ayanokojisagaru, Shimogyo-ku, Kyoto, 600-8093, 日本"
"Canton Shunsai Ikki, 17-5 Tsukimicho, Higashiyama-ku, Kyoto, 605-0829, 日本"
"EL ALMA, 8-19-12 Fukushima, Fukushima-ku, Osaka, 530-0003, 日本"
"Tan, 106-13 Gokencho, Higashiyama-ku, Kyoto, 605-0036, 日本"
"via del emme, 7-7-10 Fukushima, Fukushima-ku, Osaka, 553-0003, 日本"
"Oryori Menami, 96 Nakajimacho, Nakagyo-ku, Kyoto, 604-8004, 日本"
"Ogimachi Udonya Asuro, 3-8-3 Tenjimbashi, Kita-ku, Osaka, 530-0041, 日本"
"Oryori Amenimomakezu, 4-10-17 Nishitemma, Kita-ku, Osaka, 530-0047, 日本"
"JIBUNDOKI, 4-5-11 Minamikyuhojimachi, Chuo-ku, Osaka, 541-0058, 日本"
"Uo China Yo, 7-4-25 Fukushima, Fukushima-ku, Osaka, 553-0003, 日本"
"Ichihana, 264-1 Nijo Aburanokojicho, Nakagyo-ku, Kyoto, 604-0051, 日本"
"Mugito Mensuke, 3-4-12 Toyosaki, Kita-ku, Osaka, 531-0072, 日本"
"Kannomiho, 2-2-14 Andojimachi, Chuo-ku, Osaka, 542-0061, 日本"
"Sambongi Shoten, 478 Shincho, Kamigyo-ku, Kyoto, 602-0866, 日本"
"kushiage 010, 4F, 1-1-41 Sonezakishinchi, Kita-ku, Osaka, 530-0002, 日本"
"La pleine lune, 2F, 55-1 Matsuyacho, Nakagyo-ku, Kyoto, 604-0831, 日本"
"sonoba, 533-3 Motoshiogamacho, Shimogyo-ku, Kyoto, 600-8119, 日本"
"Shitennoji Hayauchi, 1-12-16 Shitennoji, Tennoji-ku, Osaka, 543-0051, 日本"
"NOODLE SHOP RENNOSUKE, 56-32 Murasakino Shimokashiwanocho, Kita-ku, Kyoto, 603-8313, 日本"
"Oudon Yomogi, 2-10-6 Sagisu, Fukushima-ku, Osaka, 553-0002, 日本"
"Shichiku Kiko, 16 Shichiku Shimotakedonocho, Kita-ku, Kyoto, 603-8412, 日本"
"Sakamoto Sushi, 1-23-13 Nishikujo, Konohana-ku, Osaka, 554-0012, 日本"
"Lapintaika, 499 Kitamonzencho, Sakyo-ku, Kyoto, 606-8352, 日本"
"Kushikatsu Gojoya, 2-1-11 Uchihiranomachi, Chuo-ku, Osaka, 540-0037, 日本"
"Teuchisoba Kanei, 11-1 Murasakino Higashifujinomoricho, Kita-ku, Kyoto, 603-8223, 日本"
"Tempura Kozaki, 4-11-38 Matsuzakicho, Abeno-ku, Osaka, 545-0053, 日本"
"Nikomi Kimura, 6-18-6 Tanimachi, Chuo-ku, Osaka, 542-0012, 日本"
"Itsutsu, 28 Murasakino Unrinincho, Kita-ku, Kyoto, 603-8214, 日本"
"AYU,209 The Strand, Gżira, GZR 1023, 馬爾他"
"Rubino,53 Old Bakery Street, Valletta, VLT 1454, 馬爾他"
"Grain Street,167 Merchants Street, Valletta, VLT 1174, 馬爾他"
"Terrone,Fort St. Angelo, Birgu Waterfront, Birgu, BRG 1734, 馬爾他"
"YI PAN CAI TANAKA, 26 Tanaka Satonochicho, Sakyo-ku, Kyoto, 606-8212, 日本"
"Löwen,Hauptstraße 41, Frickingen, 88699, 德國"
"Commando, Misraħ Iz-Żjara tal-Papa, Mellieħa, MLH 1080, 馬爾他"
"Lindenhof,Alte Emsstraße 7, Emsdetten, 48282, 德國"
"Dutters Stube,Winterstraße 28, Endingen am Kaiserstuhl, 79346, 德國"
"Rössle,Hauptstraße 19, Elzach, 79215, 德國"
"Weinstube Brand,Weinstraße 19, Frankweiler, 76833, 德國"
"Heinzler am See,Strandbadstraße 3, Immenstaad am Bodensee, 88090, 德國"
"DELI,Königsbrücker Straße 96, Dresden, 01099, 德國"
"Krone,Riehenstraße 92, Inzlingen, 79594, 德國"
"Zum Vaas,Münchener Straße 88, Forstinning, 85661, 德國"
"Zum Lamm,Hauptstraße 7, Neupotz, 76777, 德國"
"Gehrlein's Hardtwald,Sandhohl 14, Neupotz, 76777, 德國"
"Fährhaus,Dorfstraße 42, Dornum, 26553, 德國"
"Gambero Rosso da Domenico,Mühle 2, Eibelstadt, 97246, 德國"
"Vier Jahreszeiten Restaurant Imhof,Dietenheimer Straße 63, Illertissen, 89257, 德國"
"Anetseder,Lindenstraße 15, Hauzenberg, 94051, 德國"
"Anne, Am Schlossplatz 9, Künzelsau, 74653, 德國"
"Westerndorfer Stube,Nußbaumstraße 6, Frasdorf, 83112, 德國"
"Weinrestaurant Turmschänke,Karlsplatz 28, Eisenach, 99817, 德國"
"Gasthaus Widmann's Löwen,Struthstraße 17, Königsbronn, 89551, 德國"
"Nußbaumerin,Leibnizstraße 55, Berlin, 10629, 德國"
"Münstermanns Kontor,Hohe Straße 11, Düsseldorf, 40213, 德國"
"Im Kittchen,Alte Poststraße 2, Bad Kreuznach, 55545, 德國"
"Weißes Roß,Am Kirchberg 1, Illschwang, 92278, 德國"
"Gutshof Andres,Pettstadt 1, Kirchlauter, 96166, 德國"
"Treibgut,Friedrichsau 50, Ulm, 89073, 德國"
"Scheidels Restaurant zum Kranz,Offenburger Straße 18, Kenzingen, 79341, 德國"
"Mühlenhelle, Hohler Straße 1, Gummersbach, 51645, 德國"
"Seehaus, Seeweg-Süd 12, Dießen am Ammersee, 86911, 德國"
"Lucky Leek,Kollwitzstraße 54, Berlin, 10405, 德國"
"Little John's, Niederrheinallee 310, Neukirchen-Vluyn, 47506, 德國"
"Sommerau,Sommerau 1, Bonndorf im Schwarzwald, 79848, 德國"
"Landhaus Lebert,Schloßstraße 8, Windelsbach, 91635, 德國"
"Almer Schlossmühle,Schlossstraße 13, Brilon, 59929, 德國"
"Staudenwirt,Staudenweg 6, Finning, 86923, 德國"
"Mussumer Krug,Mussumer Kirchweg 143, Bocholt, 46395, 德國"
"Restaurant Villa Esche,Parkstraße 58, Chemnitz, 09120, 德國"
"Rait'ner Wirt,Achentalstraße 8, Schleching, 83259, 德國"
"EssBar,Kaiserstraße 27, Düsseldorf, 40479, 德國"
"Rührberger Hof, Inzlinger Straße 1, Grenzach-Wyhlen, 79639, 德國"
"Fürstenfelder,Fürstenfeld 15, Fürstenfeldbruck, 82256, 德國"
"Aschbacher Hof, Aschbach 3, Feldkirchen-Westerham, 83620, 德國"
"Zöllner's Weinstube,Sigritzau 1, Forchheim, 91301, 德國"
"Zur Krone,Mussbach 6, Freiamt, 79348, 德國"
"Weedenhof,Mainzer Straße 6, Jugenheim in Rheinhessen, 55270, 德國"
"Sennhütte,Schwand 14, Kleines Wiesental, 79692, 德國"
"Landgasthof Löwen,Kirchdorfer Straße 8, Kirchdorf an der Iller, 88457, 德國"
"Café Rapp,Dörfle 22, Königsfeld, 78126, 德國"
"Capricorn [ i ] Aries Brasserie,Alteburgerstraße 31, Köln, 50678, 德國"
"Landgasthaus Gidibauer, Grub 7, Hauzenberg, 94051, 德國"
"Gutsausschank im Baiken,Wiesweg 86, Eltville am Rhein, 65343, 德國"
"Restaurant Corona im Hotel zur Post,Mittelstraße 13, Hardert, 56579, 德國"
"Poppenborg's Stübchen,Brockhäger Straße 9, Harsewinkel, 33428, 德國"
"Allgäuer Stuben,Lindauer Straße 75, Isny im Allgäu, 88316, 德國"
"Die Windmühle, Windmühlenweg 10, Horn-Bad Meinberg, 32805, 德國"
"HYGGE Brasserie & Bar, Baron-Voght-Straße 179, Hamburg, 22607, 德國"
"Zur Krone,Miltenberger Straße 1, Großheubach, 63920, 德國"
"Wirtsstube im Hotel Burkhard, Marktplatz 10, Wernberg-Köblitz, 92533, 德國"
"Gasthaus Egertal,Wunsiedler Straße 49, Weissenstadt, 95163, 德國"
"Nil,Neuer Pferdemarkt 5, Hamburg, 20359, 德國"
"Long March Canteen,Wrangelstraße 20, Berlin, 10997, 德國"
"Freihaus Brenner,Freihaus 4, Bad Wiessee, 83707, 德國"
"Landgasthaus Hirsch,Kaiserstraße 8, Winterbach, 73650, 德國"
"Kleines Meer,Alter Markt 7, Waren, 17192, 德國"
"Erbgericht Tautewalde,Hauptstraße 25, Wilthen, 02681, 德國"
"Zur Glocke, Friedrich-von-Teck-Straße 12, Höchstädt an der Donau, 89420, 德國"
"Landgenuss,Bliestalstraße 110a, Blieskastel, 66440, 德國"
"Bergfriedel,Haabergstraße 23, Bühlertal, 77830, 德國"
"Gasthof Brink,Allee 38, Hövelhof, 33161, 德國"
"Schäck's Adler,Waldkircher Straße 2, Elzach, 79215, 德國"
"Hirsch,Maierstraße 2, Ellwangen, 73479, 德國"
"Hirsch & Jägerstüberl, Schlierseer Straße 60, Gmund am Tegernsee, 83703, 德國"
"Zum Fischer am See,Harrasser Straße 145, Prien am Chiemsee, 83209, 德國"
"Schwarzkopf,Lohrer Straße 80, Frammersbach, 97833, 德國"
"Landgasthof Zur Post,Zum See 10, Freiensteinau, 36399, 德國"
"Zum Rebstock,Kutzendorf 1, Kappelrodeck, 77876, 德國"
"Zu den drei Linden, Reeser Straße 545, Emmerich, 46446, 德國"
"Gasthaus Scherz,Luxemburger Straße 256, Köln, 50937, 德國"
"ROSE,Aichelauer Straße 6, Hayingen, 72534, 德國"
"Gasthaus Weißenbeck, Ludwig-Thoma-Straße 56, Bergkirchen, 85232, 德國"
"Harmonie,Schloßberg 2, Lichtenberg, 95192, 德國"
"LAMM,Mönchstraße 31, Bad Herrenalb, 76332, 德國"
"Flux, Buschweg 40, Hann. Münden, 34346, 德國"
"HENNE.Weinbar,Pfeilstraße 31, Köln, 50672, 德國"
"Seehof,Bachstraße 15, Immenstaad am Bodensee, 88090, 德國"
"Feilmeiers Landleben,Schwarzhöring 14, Windorf, 94575, 德國"
"Zum Goldenen Anker, Hauptstraße 16, Eggenstein-Leopoldshafen, 76344, 德國"
"Jouliard,Scheidter Straße 66, Saarbrücken, 66123, 德國"
"Zur Flottbeker Schmiede, Baron-Voght-Straße 79, Hamburg, 20038, 德國"
"Gasthaus Stromberg,Dortmunder Straße 5, Waltrop, 45731, 德國"
"Gasthaus Wolters, In der Langen Straße 22, Wurster Nordseeküste, 27639, 德國"
"Felsenbirne,Lange Straße 34, Pirna, 01796, 德國"
"Alte Posthalterei, Anton-Grandauer-Straße 9, Zorneding, 85604, 德國"
"Weinhaus Stern,Hauptstraße 23, Bürgstadt, 63927, 德國"
"Altdeutsches Restaurant,Weinmarkt 3, Dinkelsbühl, 91550, 德國"
"Talblick,Bahnhofsträßle 6, Wildberg, 72218, 德國"
"Landhaus Gräfenthal,Obergräfenthal 7, Bindlach, 95463, 德國"
"ElbUferei,Leipziger Straße 29, Dresden, 01097, 德國"
"Gasthaus Ödenturm,Am Ödenturm 11, Cham, 93413, 德國"
"Weisses Rössl,Herrengasse 1, Wasserburg am Inn, 83512, 德國"
"Lotters Wirtschaft, Altmarkt 1, Aue - Bad Schlema, 08280, 德國"
"Kaufmann's,Schloßplatz 11, Gersfeld, 36129, 德國"
"Schatzhauser,Tonbachstraße 237, Baiersbronn, 72270, 德國"
"Die Bürgermeisterei 1728,Untermarkt 13, Mühlhausen, 99974, 德國"
"November Brasserie,Husemannstraße 15, Berlin, 10435, 德國"
"Holzgarten,Holzgartenstraße 3, Erlangen, 90403, 德國"
"Bistro,Benediktusplatz 12, Aachen, 52076, 德國"
"Barra,Okerstraße 2, Berlin, 12049, 德國"
"Poststuben,Meerbachstraße 24, Meerfeld, 54531, 德國"
"Zum Falken,Tauberzell 41, Adelshofen, 91587, 德國"
"Stocks Restaurant,An der Alsterschleife 3, Hamburg, 22399, 德國"
"Rotes Ross,Würzburger Straße 3, Marktbergel, 91613, 德國"
"Jägerwirt, Nikolaus-Rank-Straße 1, Bad Tölz, 83646, 德國"
"derWaldfrieden,Dorfstraße 8, Todtnau, 79674, 德國"
"Gasthaus Goldener Stern,Dorfstraße 1, Friedberg, 86316, 德國"
"AS am See,Seestraße 9, Bad Saarow, 15526, 德國"
"Moarwirt,Sonnenlängstraße 26, Dietramszell, 83623, 德國"
"Gasthof zur Sonne,Hauptstraße 57, Tengen, 78250, 德國"
"Knippschild, Theodor-Ernst-Straße 3, Rüthen, 59602, 德國"
"Am Kring, Kring 6, Vreden, 48691, 德國"
"Vetter.,Bopserstraße 18, Stuttgart, 70180, 德國"
"Gasthof Berghof, Wartenfels 85, Presseck, 95355, 德國"
"Landhaus Tanner,Aglassing 1, Waging am See, 83329, 德國"
"Klösterle Hof,Klösterleweg 2, Bad Rippoldsau, 77776, 德國"
"Gasthaus Hofmann,Schindelsee 1, Rauhenebrach, 96181, 德國"
"Tölzer Schießstätte, Kiefersau 138, Wackersberg, 83646, 德國"
"Weinhaus Zum Ritter,Rittergasse 2, Triefenstein, 97855, 德國"
"Landgasthof Rebstock,Hauptstraße 77, Sulzburg, 79295, 德國"
"Forst's Landhaus,Mühlstraße 37b, Riedenburg, 93339, 德國"
"Landhaus Hohenlohe,Erlenweg 24, Rot am See, 74585, 德國"
"Reck's,Bahnhofstraße 111, Salem, 88682, 德國"
"Bärenkrug,Hamburger Chaussee 10, Molfsee, 24113, 德國"
"Freihardt,Hauptstraße 81, Heroldsberg, 90562, 德國"
"Zur Sonne,Deisinger Straße 20, Pappenheim, 91788, 德國"
"Gaststube,Rondellstraße 20, Höchst im Odenwald, 64739, 德國"
"Kulturhof Stanggass, Berchtesgadener Straße 111, Bischofswiesen, 83483, 德國"
"WEINreich,Hauptstraße 25, Freinsheim, 67251, 德國"
"CARUSO Pastabar,Kasparstraße 19, Köln, 50670, 德國"
"Gasthaus Waltz,Ickstattstr. 13, München, 80469, 德國"
"Landhotel Krone,Hauptstraße 12, Heitersheim, 79423, 德國"
"Rebblick,Brucknerstraße 14, Korb, 71404, 德國"
"Regional Friesoythe,Gerichtsstraße 14, Friesoythe, 26169, 德國"
"falke23,Falkenstraße 23, München, 81541, 德國"
"Weinstube zum Engel, Mauerbergstraße 62, Baden-Baden, 76534, 德國"
"Landgasthof Schwanen,Rheinstraße 50, Bad Bellingen, 79415, 德國"
"Wirtshaus Mättle,Freiburger Straße 314, Lörrach, 79539, 德國"
"Salt & Silver Levante,Hafenstraße 140, Hamburg, 20359, 德國"
"Hirsch,Dorfstraße 9, Berghaupten, 77791, 德國"
"Geberts Weinstuben,Frauenlobstraße 94, Mainz, 55118, 德國"
"Landgasthof zum Müller,Passauer Straße 16, Ruderting, 94161, 德國"
"Gasthaus Schwanen,Talstraße 9, Stühlingen, 79780, 德國"
"das asam, Freiherr-Von-Aretin-Platz 2, Aldersbach, 94501, 德國"
"Die Krone,Hauptstraße 30, Staufen im Breisgau, 79219, 德國"
"Goldener Adler,Böheimstraße 38, Stuttgart, 70178, 德國"
"Bauernstuben, Franz-Josef-Gall-Straße 13, Tiefenbronn, 75233, 德國"
"Sticky Fingers,Unteren Bachgasse 9, Regensburg, 93047, 德國"
"Lohmayr Stub'n,Salzburger Straße 13, Piding, 83451, 德國"
"Ramster,Heberer Straße 16, Schneverdingen, 29640, 德國"
"Gutsküche,Wulksfelder Damm 15, Tangstedt, 22889, 德國"
"Auers Schlosswirtschaft,Rosenheimer Straße 8, Neubeuern, 83115, 德國"
"Graf Everstein,Amtstraße 6, Polle, 37647, 德國"
"MundArt2015,Holzhausen 2, Teisendorf, 83317, 德國"
"Zur Linde,Sigmaringer Straße 49, Stuttgart, 70567, 德國"
"Feine Speiseschenke,Winkelberg 13, Nordhausen, 99734, 德國"
"Landhotel zum Hirsch,Hauptstraße 27, Ostrach, 88356, 德國"
"Das Fetzwerk,Freibergstraße 21, Oberstdorf, 87561, 德國"
"Landhaus Zum Rössle,Zeilwiesen 5, Schwäbisch Hall, 74523, 德國"
"Das August,Riepener Straße 21, Bad Nenndorf, 31542, 德國"
"Die Krone, Hauptstraße 44, Sulzbach-Laufen, 74429, 德國"
"Cube by Mika,Domhof 6, Schwerin, 19055, 德國"
"Jäger & Lustig,Grünberger Straße 1, Berlin, 10243, 德國"
"Froschgrundsee,Schönstädt 14, Rödental, 96472, 德國"
"RÖHMS DELI,Heiligengeiststraße 30, Lüneburg, 21335, 德國"
"Am Osterfeuer,Hellerweg 35, Herford, 32052, 德國"
"Schorse im Leineschloss, Hannah-Ahrendt-Platz 1, Hannover, 30159, 德國"
"Bistro Margarete,Scheffelstraße 55, Karlsruhe, 76133, 德國"
"WurzelWerk,Bergstraße 7, Großbundenbach, 66501, 德國"
"Melkhus, Rothensande 1, Bad Malente-Gremsmühlen, 23714, 德國"
"MaMi's,Oderberger Straße 13, Berlin, 10435, 德國"
"Funky Fisch,Kantstraße 135, Berlin, 10625, 德國"
"Michels Stern,Bahnhofstraße 9, Marktbreit, 97340, 德國"
"Speisemeisterei Burgthalschenke,Untere Hauptstraße 4, Vöhringen, 89269, 德國"
"Dorfstuben, Hermine-Bareiss-Weg 1, Baiersbronn, 72270, 德國"
"Alter Esel,Marktstraße 10, Marktbreit, 97340, 德國"
"Berggasthof Schlüssel,Pfaffenberg 2, Zell im Wiesental, 79669, 德國"
"Lamm,Hauptstraße 24, Muggensturm, 76461, 德國"
"Zum Kreuz,Hohlengraben 1, Sankt Märgen, 79274, 德國"
"Das Jagdhaus,Ludwigstraße 13, Oberstdorf, 87561, 德國"
"Stumpenhof,Am Stumpenhof 1, Plochingen, 73207, 德國"
"Sternenschanz, Gottlob-Linck-Straße 2, Ötisheim, 75443, 德國"
"MEIER,Hilzhofen 18, Pilsach, 92367, 德國"
"Gasthof Alpenrose,Kirchplatz 2, Samerberg, 83122, 德國"
"Kamin, Dollenberg 3, Bad Peterstal, 77740, 德國"
"Zur Linde,Nürtinger Straße 24, Oberboihingen, 72644, 德國"
"Gasthaus Sternen Post,Hauptstraße 30, Oberried, 79254, 德國"
"Gasthof Blumenthal,Stiegelmühle 42, Spalt, 91174, 德國"
"Granit,5 Kerhuéno, Plouharnel, 56340, 法國"
"Zum Dückerstieg,Dückerstieg 7, Neuendorf bei Wilster, 25554, 德國"
"Die Halde,Halde 2, Oberried, 79254, 德國"
"Wirtschaft von Johann Gerner,Dannberg 3, Heßdorf, 91093, 德國"
"Tohu Bohu,16 rue Chenoise, Grenoble, 38000, 法國"
"La Plage, 21 rue Gustave-Danquin, Audresselles, 62164, 法國"
"Topaze, 103 rue Aristide-Briand, Saint-Nazaire, 44600, 法國"
"L'IØDE,89 avenue Gambetta, Saintes, 17100, 法國"
"Sillage, 4 ruelle de la Lanterne, Saint-Pierre-d'Oléron, 17310, 法國"
"La Croix Blanche, 2 avenue de la Loire (à Veuves), Veuzain-sur-Loire, 41150, 法國"
"Cabane, 8 rue du Docteur-Foucault, Nanterre, 92000, 法國"
"L'Estacade,4 quai du Lénigo, Le Croisic, 44490, 法國"
"Bergamote,123 rue de Gerland, Lyon, 69007, 法國"
"Brasserie d'Asten,8 boulevard Clemenceau, Binic, 22520, 法國"
"L'Arbre Vert,96 rue Principale, Berrwiller, 68500, 法國"
"La Petite Grange, 17 rue Edouard-Marty, Tournemire, 15310, 法國"
"La Récré,70 route de Satillieu, Vaudevant, 07410, 法國"
"Rosemarie,149 rue de l'Université, Paris, 75007, 法國"
"Peck & Co,23 rue Fautras, Brest, 29200, 法國"
"Rolland, 12 chemin du Moulin-Rolland, Plourhan, 22410, 法國"
"Baca'v par Gilles Choukroun, 6 rue des Fossés-Saint-Marcel, Paris, 75005, 法國"
"Gribiche, 9 rue Max-Richard, Angers, 49100, 法國"
"La Fourchette à Droite, 2 rue de la Pie-qui-Boit, Saint-Malo, 35400, 法國"
"Le 21ème Commis,23 rue du Mur, Morlaix, 29600, 法國"
"La Table du Square, 26 boulevard du Maréchal-Foch, Beaune, 21200, 法國"
"Le Clos Saint Martin, 1 rue du Marronnier - Lieu-dit Languit, Arvigna, 09100, 法國"
"La Petite Ourse,48 boulevard de la Liberté, Rennes, 35000, 法國"
"Imayoko, 20 boulevard de la Tour-d'Auvergne, Rennes, 35000, 法國"
"Le Bouche à Oreille, 39 avenue Charles-de-Gaulle, Tulle, 19000, 法國"
"Auberge de La Mère Duval, Impasse de la Linerie, Auzouville-sur-Saâne, 76730, 法國"
"Maison Cachée, 9 rue Haute-Candre, Rochefort-en-Terre, 56220, 法國"
"L'Auberge du Pas de Vent, 281 avenue Pas-de-Vent, Pouillon, 40350, 法國"
"Café de la Fontaine, 4 avenue du Général-de-Gaulle, La Turbie, 06320, 法國"
"Gare aux Goûts, 26 bis rue Louis-Blanqui, Lorient, 56100, 法國"
"Clément Artisan Culinaire, 6 rue Eugène-Mazélie, Lauzun, 47410, 法國"
"O2C, 20 place de Strasbourg, Bagnères-de-Bigorre, 65200, 法國"
"La Closerie des Roses, 455 rue de la Haute-Meilleraie, Varades, 44370, 法國"
"Le Manoir de Kerbot, Lieu-dit Kerbot, Sarzeau, 56370, 法國"
"Les Loges du Jardin d'Aymeric,7 rue du Canigou, Clara, 66500, 法國"
"Le Bistro d'en Face,1 rue Fénelon, Bergerac, 24100, 法國"
"Auberge Saint Fiacre,5 rue de la Fontaine, Veuil, 36600, 法國"
"Le Bistrot 270,270 chemin de Malombre, Malataverne, 26780, 法國"
"L'Ermitage, 73 avenue de l'Ermitage, Espaly-Saint-Marcel, 43000, 法國"
"L'Envers du Décor,23 rue de la Bienfaisance, Les Herbiers, 85500, 法國"
"Ô Moulin, 1 place Martin-Dolt, Carsac-Aillac, 24200, 法國"
"La Chênaie, Rue du Lejat - lieu-dit La Berlanderie, Croutelle, 86240, 法國"
"Auberge de l'Abbaye,5 route de l'Abbaye, Hambye, 50450, 法國"
"Auberge Metzger,55 rue Principale, Natzwiller, 67130, 法國"
"Le Pré Saint Jean, 18 avenue Maréchal-Leclerc, Pézenas, 34120, 法國"
"Le Brélévenez, 1 rue Stang-Ar-Béo, Lannion, 22300, 法國"
"Le 62, 62 rue Fontgiève, Clermont-Ferrand, 63000, 法國"
"Sodade, 21 avenue du Président-Georges-Pompidou, Chaudes-Aigues, 15110, 法國"
"L'Épine, 19 place de la République, Azay-le-Rideau, 37190, 法國"
"Auberge La Gaillotière, Lieu-dit La Gaillotière, Château-Thébaud, 44690, 法國"
"Le Cygne, 35 Grande-Rue, Gundershoffen, 67110, 法國"
"Le Confidentiel, 24 route des Moulins, Menthon-Saint-Bernard, 74290, 法國"
"L'Assiette au Jardin, 9 rue du Robinet, Noirmoutier-en-l'Île, 85330, 法國"
"SaQuaNa,22 place Hamelin, Honfleur, 14600, 法國"
"Perle des Vosges, 22 route Gaschney, Muhlbach-sur-Munster, 68380, 法國"
"Manat, 3 rue Cité-Bartissol, Perpignan, 66000, 法國"
"Auberge de l'Île, 3 place Bouchard, L'Île-Bouchard, 37220, 法國"
"Double Dragon, 52 rue Saint-Maur, Paris, 75011, 法國"
"Le Café des Arts, 2 rue de la Poste, Beaulieu-sous-la-Roche, 85190, 法國"
"Atelier Salone, 6 rue du Maréchal-Joffre, Salon-de-Provence, 13300, 法國"
"Le Bon Temps,2600 RD7N Est, Sénas, 13560, 法國"
"Fleur de Sel, 15 place Pierre-Fidèle-Bretonneau, Saint-Georges-sur-Cher, 41400, 法國"
"La Maison de Kerdiès, 5 route de Perherel, à Saint-Samson, Plougasnou, 29630, 法國"
"Côté Bastide, 4 rue de l'Abattoir, Sainte-Foy-la-Grande, 33220, 法國"
"Bird, 38 rue Charles-de-Gaulle, Yerres, 91330, 法國"
"Les 7,32 quai Baluze, Tulle, 19000, 法國"
"La Table du Pouyaud,57 route de Paris, Champcevinel, 24750, 法國"
"La Chatellenie, 1 rue du Commerce, Availles-Limouzine, 86460, 法國"
"Les Petits Parisiens, 49 avenue Jean-Moulin, Paris, 75014, 法國"
"C'la Vie,12 avenue du Jasset, Orsan, 30200, 法國"
"Téjérina, 51 place de la Mairie, Polliat, 01310, 法國"
"20 Eiffel,20 rue de Monttessuy, Paris, 75007, 法國"
"Erasmo, 4 rue du Général-Lambert, Carhaix-Plouguer, 29270, 法國"
"Chez Davia,11 bis rue Grimaldi, Nice, 06000, 法國"
"Kisin, 7-9 rue de Ponthieu, Paris, 75008, 法國"
"La Gare, 4 rue des Ormelets, à Beaussais-sur-Mer, Ploubalay, 22650, 法國"
"Les Trois Bourgeons,10 rue Auxerroise, Chablis, 89800, 法國"
"Bistrot Louise, 80 place Jean-Vinay, L'Albenc, 38470, 法國"
"Agastache,134 rue Duguesclin, Lyon, 69006, 法國"
"Simple et Meilleur, Place Notre-Dame, quartier de Caseblanche, Saint-Martin-de-Belleville, 73440, 法國"
"Le Laurier Fleuri,460 route de Clisson, Vertou, 44120, 法國"
"La Ferme de Victorine, 141 route du Plan-Dessert, Notre-Dame-de-Bellecombe, 73590, 法國"
